id,ime,kraj,drzava,direktor,zaloga
831726,Wintheiser Hospital,Staryy Saltiv,Ukraine,Teirtza Rodie,771
319519,Hermann Hospital,Vale de Figueira,Portugal,Emmalynn Lampen,702
828447,Paucek Hospital,Marseille,France,Betteann Crinage,551
791253,Stark Hospital,Dardhas,Albania,Darcie Yitzhak,505
900385,Fritsch Hospital,Pontinha,Portugal,Amalia Bloodworth,120
808764,Weber Hospital,Skoghall,Sweden,Bobbye Priestman,539
885298,Beahan Hospital,Pembroke,Malta,Evin Dudderidge,943
286435,Dickens Hospital,Qvareli,Georgia,Blayne Grimble,365
028369,Murazik Hospital,Marinhais,Portugal,Nerta O'Concannon,458
363723,Pagac Hospital,Bugojno,Bosnia and Herzegovina,Ruthie Spirritt,434
558959,Kutch Hospital,Stockholm,Sweden,Tasha Traill,332
767332,Koss Hospital,Podhum,Bosnia and Herzegovina,Fitzgerald Gontier,337
337471,Fay Hospital,Áyios Vasílios,Greece,Bunny Capsey,758
063821,Hauck Hospital,Telde,Spain,Marnie Lannen,26
575506,Gottlieb Hospital,Pokrovo-Prigorodnoye,Russia,Rayner Venditti,811
907746,Hane Hospital,Alvito,Portugal,Mela McIntee,68
733714,Kemmer Hospital,Abbeville,France,Cynthia Bowery,193
292886,Sawayn Hospital,Tríkeri,Greece,Aubree Howchin,606
998025,Becker Hospital,Pavlovskiy Posad,Russia,Sile Pott,22
080902,Lang Hospital,Pontevedra,Spain,Kate Tiesman,767
003704,Tillman Hospital,Bairro dos Marinheiros,Portugal,Sibilla Mowle,103
831580,Hickle Hospital,Mizoch,Ukraine,Annalee Boother,741
414192,Crooks Hospital,Rožaje,Montenegro,Ianthe Rivalant,118
951418,Cremin Hospital,Gostivar,Macedonia,Geoff Jurick,699
472703,Larkin Hospital,Stockholm,Sweden,Temple Pleat,856
112344,Schroeder Hospital,Marly-le-Roi,France,Allan Mainson,593
270088,Kertzmann Hospital,Makhalino,Russia,Tildy Haddeston,333
767217,Parisian Hospital,Priupskiy,Russia,Daffi Large,995
231822,Hermiston Hospital,Aix-en-Provence,France,Dorie Lacasa,166
696537,Ritchie Hospital,Kilmacanoge,Ireland,Nerta Hemshall,849
695233,Hagenes Hospital,Astghadzor,Armenia,Brok Brimilcombe,973
853673,Terry Hospital,Velké Hoštice,Czech Republic,Artemas Leacock,175
031116,King Hospital,Engel’s,Russia,Cammie Dabbs,156
342103,Quitzon Hospital,Montargis,France,Hastings Elfitt,410
765244,Swaniawski Hospital,Floirac,France,Ashely Moffatt,156
825106,Dooley Hospital,Szamotuły,Poland,Alexa Ruddin,927
737834,Marquardt Hospital,Naberezhnyye Chelny,Russia,Shirline Dumphries,531
549176,Collier Hospital,Spas-Klepiki,Russia,Tiphany Eales,273
223156,Tillman Hospital,Salaspils,Latvia,Burl Oxenbury,983
905122,Kutch Hospital,Kirovskiy,Russia,Estevan Bernlin,659
220565,Effertz Hospital,Eskilstuna,Sweden,Evangeline Waddam,805
075505,Frami Hospital,Cieplice Śląskie Zdrój,Poland,Stacie Capner,428
135822,Lueilwitz Hospital,Tuzha,Russia,Patric Morales,297
322370,Beatty Hospital,Hiseti,Bosnia and Herzegovina,Bert Giorgeschi,111
580819,McDermott Hospital,Łopuszno,Poland,Sauncho Roja,135
063489,Kub Hospital,Kipen’,Russia,Ernesta Dimmick,238
432765,Aufderhar Hospital,Lille,France,Kory Poizer,790
971943,Sawayn Hospital,Kotuń,Poland,Sharlene Rotter,9
877575,Fahey Hospital,Kruševica,Croatia,Etta Pibworth,869
946918,Weber Hospital,Zavolzh’ye,Russia,Eimile Guinness,399
782429,Gutmann Hospital,Zuya,Ukraine,Dulcinea Costelloe,400
610058,Sanford Hospital,Claye-Souilly,France,Thorsten Lavalde,670
737990,Witting Hospital,Mariestad,Sweden,Deanna Scartifield,705
286970,Eichmann Hospital,Golubac,Serbia,Irina Stainland,528
410238,Wyman Hospital,Santo Aleixo,Portugal,Free Ellyatt,828
241659,Koelpin Hospital,Novoul’yanovsk,Russia,Juieta Pleming,396
797934,Schaefer Hospital,Timrå,Sweden,Riane Jakov,22
278637,Sipes Hospital,Itzig,Luxembourg,Alexei Broadhurst,445
886404,Lowe Hospital,Laval,France,Katusha Gofton,325
416591,Raynor Hospital,Olsztynek,Poland,Eolanda Brauns,653
458605,Breitenberg Hospital,Kokemäki,Finland,Jorrie Mowbury,84
797989,Leuschke Hospital,Venda do Valador,Portugal,Rachele Syer,851
439905,Turner Hospital,Hazlov,Czech Republic,Ruy Undy,83
728155,Schiller Hospital,Ust’-Koksa,Russia,Nikola Vasilchenko,929
343255,Homenick Hospital,Mońki,Poland,Kanya Cummings,634
915851,Dickens Hospital,Shikhazany,Russia,Meris Brunelleschi,345
108586,Murphy Hospital,Rassvet,Russia,Calida Ashment,285
834862,Kozey Hospital,Nové Strašecí,Czech Republic,Rosanne De Ortega,111
113639,Hayes Hospital,Timrå,Sweden,Lyndsay Dargie,908
238341,Hintz Hospital,Pyhäntä,Finland,Salim Streat,328
988943,Hilll Hospital,Shchastya,Ukraine,Vincenz Rawlinson,144
589602,Schamberger Hospital,Cholet,France,Shina Keppel,949
275468,Steuber Hospital,Carvalhal,Portugal,Charissa Le Moucheux,643
354492,Pollich Hospital,Götene,Sweden,Ivie Tilmouth,260
010092,Herzog Hospital,A dos Negros,Portugal,Malcolm Streets,865
008986,Stiedemann Hospital,Bor,Serbia,Demeter Eeles,460
458904,Konopelski Hospital,Tullyallen,Ireland,Gloriana Sparshatt,501
872029,Vandervort Hospital,Gijon,Spain,Oliver Marran,293
429858,Pollich Hospital,Entradas,Portugal,Harley Mapes,272
804593,Kuvalis Hospital,Biljača,Serbia,Shannan Alessandrucci,882
105586,Kunze Hospital,Tamel,Portugal,Koenraad Diggens,697
335104,Steuber Hospital,Śniadowo,Poland,Chere Crossley,571
441341,Bogisich Hospital,Uryupinsk,Russia,Winston Fleckney,983
888288,Wisozk Hospital,Lorino,Russia,Hobard Backler,697
866873,Olson Hospital,Åtvidaberg,Sweden,Randy Shallo,457
692653,Crist Hospital,Bengtsfors,Sweden,Sidonia Seifenmacher,677
736396,Boehm Hospital,Ilek,Russia,Belia Imos,578
659766,Kertzmann Hospital,Torzhok,Russia,Iormina Alesio,857
421583,Langworth Hospital,Kuvandyk,Russia,Davita Upjohn,508
090993,Parker Hospital,Ampeleíes,Greece,Pincas Thaxter,118
029542,Mante Hospital,Mērsrags,Latvia,Doralyn Pennuzzi,369
535893,Connelly Hospital,Saint-Quentin-en-Yvelines,France,Ardelia Nagle,942
770384,Grimes Hospital,Yelets,Russia,Markus Lacey,615
428767,Ledner Hospital,Svitlovods’k,Ukraine,Bethany Bodiam,198
874024,Jast Hospital,Stockholm,Sweden,Aimil Bahlmann,814
056287,Jenkins Hospital,Mosteiros,Portugal,Jorrie Feast,466
150112,Hudson Hospital,Szeged,Hungary,Gabriel Zanuciolii,228
867176,Bogan Hospital,Suslonger,Russia,Freddie Gamblin,369
337068,Koepp Hospital,Zwierzyń,Poland,Sal Whetland,827
128989,Lebsack Hospital,Shabo,Ukraine,Friedrick Clarkson,681
806180,Terry Hospital,Jieznas,Lithuania,Levin Hargey,815
586250,Lang Hospital,Jaworzyna Śląska,Poland,Neilla Laxton,442
560088,Bins Hospital,Ronneby,Sweden,Nico Holtham,322
759769,Kris Hospital,Kleszczewo,Poland,Dino Othen,494
043764,Lueilwitz Hospital,Staré Město,Czech Republic,Ed Vasichev,341
392516,Schmitt Hospital,Stavyshche,Ukraine,Martainn Agent,133
923896,Upton Hospital,Utena,Lithuania,Rebecca Asgodby,107
490172,Donnelly Hospital,Bruxelles,Belgium,Nikolai Coventry,820
933267,Bailey Hospital,Rodópoli,Greece,Jayne Ferreras,595
526301,Considine Hospital,Pertunmaa,Finland,Archaimbaud MacKerley,801
717817,Gorczany Hospital,Zagnitkiv,Ukraine,Amory Westcot,141
637658,Kuhic Hospital,Zarichchya,Ukraine,Engracia Mendonca,671
175835,Fay Hospital,Cherëmushki,Russia,Kendricks Hurdle,846
298590,Grimes Hospital,Lopar,Croatia,Verina Draysay,654
388914,Klocko Hospital,Durrës,Albania,Baird Dugald,973
395700,Lang Hospital,Drawsko,Poland,Jasmin Brummell,799
309306,Murphy Hospital,Zbraslav,Czech Republic,Margie Nucci,478
172693,Cremin Hospital,Skidal’,Belarus,Miran Novotne,412
791309,Roberts Hospital,Pechersk,Russia,Allister Hulance,911
040164,Klein Hospital,Kärdla,Estonia,Joellen Yokley,842
871419,Heathcote Hospital,Pápa,Hungary,Shane Krook,860
944641,Zemlak Hospital,Pukkila,Finland,Jarrod Caseborne,676
844028,Lemke Hospital,Shalazhi,Russia,Whitney Cokely,944
214107,Fisher Hospital,Spassk-Dal’niy,Russia,Reider Eccleshare,874
013094,Boyle Hospital,Białobrzegi,Poland,Candie Luce,840
902955,Grimes Hospital,Paris 11,France,Christalle Foro,823
252559,Hyatt Hospital,Tsementnozavodskiy,Russia,Shannen Rubinchik,36
634224,Mraz Hospital,Khoroshëvo-Mnevniki,Russia,Nanete McCaughan,870
047655,Shanahan Hospital,Martin,Croatia,Daryle Avrahamof,929
827755,Schaefer Hospital,Benavila,Portugal,Donnell Gurney,468
391398,Koch Hospital,Călăraşi,Moldova,Denys McKinna,752
888845,Willms Hospital,Sintra,Portugal,Claudianus Adolthine,221
825458,Kunze Hospital,Mayenne,France,Antonietta Ruckledge,48
018553,Auer Hospital,Aradac,Serbia,Elyssa Vasyuchov,514
381088,O'Kon Hospital,Kuryłówka,Poland,Tarrance McMonies,796
720097,Miller Hospital,Mosjøen,Norway,Demetris Carless,507
303543,Walsh Hospital,Võhma,Estonia,Rafi Shanklin,821
726865,Will Hospital,Marseille,France,Elisabet Farge,332
302185,Roob Hospital,Valka,Latvia,Ranna Eastbrook,648
630129,Gleason Hospital,Knyaginino,Russia,Irving Oxford,433
922721,Beatty Hospital,Karviná,Czech Republic,Cathee Bussy,869
808088,Crona Hospital,Skuratovskiy,Russia,Innis Simkovitz,489
460359,Mosciski Hospital,Berezne,Ukraine,Othella Hamlington,425
009189,Muller Hospital,Selishche,Russia,Lev Hanselmann,21
382796,Schulist Hospital,Zlatar,Croatia,Giffie Dunnet,834
379519,Hettinger Hospital,Misheronskiy,Russia,Ambrosius Boliver,837
677394,Farrell Hospital,Otwock,Poland,Alameda Gammel,224
775434,McLaughlin Hospital,Carregal,Portugal,Rube Aim,636
120723,Okuneva Hospital,Kos,Greece,Rutger Lorain,451
915045,Larson Hospital,Blarney,Ireland,Ossie Moakson,595
994354,Macejkovic Hospital,Celje,Slovenia,Doretta Janiak,84
102792,Haley Hospital,Outeiro de Polima,Portugal,Robby Caruth,181
894284,Towne Hospital,Dolní Dunajovice,Czech Republic,Ferdie McAndie,31
531107,Halvorson Hospital,Werbkowice,Poland,Lira Brodeau,748
493937,Kirlin Hospital,Arsen’yev,Russia,Eziechiele Camplin,873
250294,Schowalter Hospital,Veselí nad Lužnicí,Czech Republic,Mose Condell,239
449426,Hartmann Hospital,Knin,Croatia,Carney Feirn,678
328009,Nikolaus Hospital,Nelahozeves,Czech Republic,Patsy Limon,213
459317,Hirthe Hospital,Tanumshede,Sweden,Nada Lochrie,472
425734,Brown Hospital,Hudlice,Czech Republic,Germain Muttitt,266
573903,Yost Hospital,Vybor,Russia,Kennan Mieville,163
263321,Hamill Hospital,Donskoy,Russia,Francois Ketton,912
064930,Wisoky Hospital,Gijon,Spain,Nappie Turgoose,661
595376,Pfeffer Hospital,Prawdzinski,Belarus,Florri Musslewhite,30
517336,Mosciski Hospital,Eaton,United Kingdom,Donalt Luten,18
490688,Bartell Hospital,Challans,France,Shara Coffey,481
055706,Wilkinson Hospital,Roriz,Portugal,Nananne Filipchikov,255
045051,Maggio Hospital,Boulogne-sur-Mer,France,Benton Corns,223
042804,Cartwright Hospital,Bambakashat,Armenia,Cynthy Trythall,42
991859,Kiehn Hospital,Vila Fria,Portugal,Dinny Tomblin,897
383779,Borer Hospital,Gislaved,Sweden,Angelico Tuckwood,640
529966,Barrows Hospital,Berëzovskiy,Russia,Durward Leheude,734
196756,Tillman Hospital,Hacı Zeynalabdin,Azerbaijan,Herby Scraney,449
667910,Willms Hospital,Courbevoie,France,Burty Tubby,750
783107,Jacobson Hospital,Nantes,France,Wilden Patrone,447
333419,Goodwin Hospital,Chornoliztsi,Ukraine,Nichols Pes,848
457003,Rempel Hospital,Aughrim,Ireland,Terry Gawthrop,902
738677,Bechtelar Hospital,Siemiechów,Poland,Conni Mulkerrins,412
093312,Raynor Hospital,Struga,Macedonia,Truman Cressor,432
305484,Medhurst Hospital,Laveiras,Portugal,Aloin Sich,324
729735,Beier Hospital,Goussainville,France,Claudianus Parlor,400
050468,Dibbert Hospital,Antony,France,Gannon Sans,643
324363,Batz Hospital,Chodów,Poland,Stacie McBride,569
938372,Reichel Hospital,Lindesberg,Sweden,Ralph Pattenden,528
295971,Gleichner Hospital,Boyle,Ireland,Ricard Valentinetti,458
537518,Torp Hospital,Ust’-Dzheguta,Russia,Deonne Thorius,212
493507,Bogan Hospital,Arnage,France,Austen Volks,164
383006,Greenfelder Hospital,Dubki,Russia,Ted Chrippes,282
424009,Wuckert Hospital,Sovetsk,Russia,Pet Lilion,532
819688,Rogahn Hospital,Oslo,Norway,Garvey Shearsby,221
514480,Pouros Hospital,Izyum,Ukraine,Cris Slidders,527
693016,Wolff Hospital,Glamoč,Bosnia and Herzegovina,Agneta Brimelow,523
674002,Gleason Hospital,Outeiro,Portugal,Benedicta Applewhaite,988
809736,Gleason Hospital,Kalinovo,Russia,Payton Bisseker,470
499972,Maggio Hospital,Pantin,France,Kevina Dobie,931
381415,Parisian Hospital,Vavozh,Russia,Wang Raeburn,897
666342,Walter Hospital,Tomelilla,Sweden,Gasparo Laidler,84
238202,Cole Hospital,Sala,Sweden,Elmer Lount,991
400687,Cassin Hospital,Pervomaysk,Russia,Vinni Coslitt,265
076453,Lang Hospital,Clermont-Ferrand,France,Robinet Hayworth,360
768391,Murphy Hospital,Dowsk,Belarus,Marcelle Edes,578
140706,Heidenreich Hospital,Shlissel’burg,Russia,Jillana Ricketts,599
165906,Graham Hospital,Bordeaux,France,Charyl Alven,43
126624,Hane Hospital,Västerås,Sweden,Robenia Epinoy,561
816500,Treutel Hospital,Ronov nad Doubravou,Czech Republic,Miltie Mowling,880
886670,Quitzon Hospital,Savran’,Ukraine,Lorrie Gunther,953
734857,Koss Hospital,Novki,Russia,Francesca Dikle,245
151056,Hamill Hospital,Orange,France,Christel Broodes,249
758250,Franecki Hospital,Mozhaysk,Russia,Nate Cisec,841
593172,Price Hospital,Pécs,Hungary,Aili Neve,785
804331,Walter Hospital,Rasony,Belarus,Waring Marval,744
460821,Wunsch Hospital,Victoria,Malta,Randee Wandtke,849
804165,Treutel Hospital,Główczyce,Poland,Betti Di Pietro,858
755948,Osinski Hospital,Wojcieszków,Poland,Hillary How to preserve,102
161514,Funk Hospital,Xhafzotaj,Albania,Ailsun Romagnosi,406
192362,Skiles Hospital,Nürnberg,Germany,Neda Torbet,309
106622,Koch Hospital,Rogóźno,Poland,Pegeen Cattermole,673
300470,Schinner Hospital,Káto Miliá,Greece,Kyle Colerick,567
379267,Krajcik Hospital,Dimovo,Bulgaria,Danya Suttling,865
598459,McGlynn Hospital,Tomar,Portugal,Cory Kalewe,652
545588,Kutch Hospital,Castres,France,Alford Tapley,331
272029,Ledner Hospital,Siedlce,Poland,Shantee Trood,5
716189,Gutkowski Hospital,Gävle,Sweden,Nicolas Swigg,451
910278,Hartmann Hospital,Punat,Croatia,Grayce Pisco,769
429614,Predovic Hospital,Zbraslav,Czech Republic,Mead Hynard,90
320727,Beatty Hospital,Ryczów,Poland,Jessika Isabell,173
926616,Little Hospital,Cortinhas,Portugal,Gibb Mueller,195
456751,Von Hospital,Slobodka,Russia,Angele Manston,325
122734,Daugherty Hospital,Rotterdam postbusnummers,Netherlands,Pierce Philipeaux,970
298181,Ryan Hospital,Ivano-Frankove,Ukraine,Cliff Preshous,84
257793,Rodriguez Hospital,Courtaboeuf,France,Joachim Haxbie,220
543573,Deckow Hospital,Monte Redondo,Portugal,Terrill Elcock,172
905942,Hettinger Hospital,Manzurka,Russia,Brynn Peiro,153
487398,Ortiz Hospital,Vale,Georgia,Burch Skelcher,917
867289,Wiegand Hospital,Venda Nova,Portugal,Alisander Guidera,756
730261,Farrell Hospital,Urzuf,Ukraine,Corilla Duchart,613
684682,Tremblay Hospital,Orikhiv,Ukraine,Trude Kruszelnicki,599
170453,Leffler Hospital,Évlalo,Greece,Gael Gebbie,195
491176,Ernser Hospital,Miedzichowo,Poland,Nessa Stabler,810
160257,Barton Hospital,Sollefteå,Sweden,Sylvester Cavolini,425
561023,O'Connell Hospital,Varakļāni,Latvia,Karlyn Praten,595
227521,Lesch Hospital,Zheleznodorozhnyy,Russia,Emmy Delnevo,762
800853,Dicki Hospital,Hradec nad Moravici,Czech Republic,Nadia Fishburn,398
442334,Auer Hospital,Cobh,Ireland,Cathe Cockcroft,684
415171,Beer Hospital,Stenungsund,Sweden,Boony Littrick,675
488673,Hoeger Hospital,Bollnäs,Sweden,Jayson Dewer,300
677384,Marvin Hospital,Millerovo,Russia,Jilleen Gatus,706
214486,Koss Hospital,Balta,Ukraine,Cello Passie,941
207198,Fahey Hospital,Markaryd,Sweden,Adrian Wrightam,904
360331,Jewess Hospital,Le Mans,France,Willem Pride,514
378026,Schulist Hospital,London,United Kingdom,Randie Sinclar,336
907346,Leuschke Hospital,Sychëvo,Russia,Killie Clac,846
653993,Swift Hospital,Siennica Różana,Poland,Shena Theobalds,285
344089,Little Hospital,Gielniów,Poland,Stafford Elcox,129
544320,Reinger Hospital,Kortkeros,Russia,Mandi Weadick,454
205753,Rice Hospital,Tatarsk,Russia,Spencer Baversor,350
347875,West Hospital,Molodizhne,Ukraine,Fawnia Beckenham,579
404393,Lemke Hospital,Saint-Grégoire,France,Chantal Eborn,381
409427,Dickinson Hospital,Parikkala,Finland,Aloysia Lanston,935
635436,Swaniawski Hospital,Opinogóra Górna,Poland,Anallise Prosch,806
187965,Cartwright Hospital,Kosaya Gora,Russia,Nev Sloane,636
738474,Wiza Hospital,Picoto,Portugal,Abeu Fall,967
296938,Hermann Hospital,Solomenskoye,Russia,Thea Bankes,175
788536,Robel Hospital,Gråbo,Sweden,Melody Beuscher,447
765092,Ortiz Hospital,Prostki,Poland,Winny Drysdell,738
687642,Zulauf Hospital,Rybatskoye,Russia,Dodie McCahill,739
347326,Stehr Hospital,Zaprudnya,Russia,Lucinda Palfreman,285
416312,Bruen Hospital,Złocieniec,Poland,Chantalle Vernazza,763
838398,Reichert Hospital,Virolahti,Finland,Jude Deathridge,52
554342,Johns Hospital,Pryvol’ny,Belarus,Kinna Van Dale,487
104165,Morissette Hospital,Otlja,Macedonia,Jules Hurich,256
673863,Goodwin Hospital,Ronneby,Sweden,Imojean Dedman,169
594326,Fisher Hospital,Dimovo,Bulgaria,Adham Palser,226
783379,Greenfelder Hospital,Klenčí pod Čerchovem,Czech Republic,Reggis Balint,869
387727,Green Hospital,Oborniki Śląskie,Poland,Lisetta Matejic,811
549173,DuBuque Hospital,Marseille,France,Midge Gettens,383
486442,Spinka Hospital,Kalininskiy,Russia,Hobie Gotfrey,313
476007,Jenkins Hospital,Langres,France,Thea Leadbetter,563
144728,Spencer Hospital,La Seyne-sur-Mer,France,Viviyan Vigours,429
274935,Schamberger Hospital,Denyshi,Ukraine,Franky Dalziell,164
576623,Schmidt Hospital,Nasilava,Belarus,Reggie Echallier,942
811560,Beatty Hospital,Vreshtas,Albania,Moe Johnikin,892
213871,McGlynn Hospital,Vil’nyans’k,Ukraine,Janella Hellyer,875
812190,Auer Hospital,Yampil’,Ukraine,Johann Gracey,121
352377,Mosciski Hospital,Księżpol,Poland,Eddy Dy,144
470364,Beer Hospital,Zielonki,Poland,Juan Hoopper,547
974246,Waters Hospital,Zbraslavice,Czech Republic,Amelie Merfin,21
309847,Lind Hospital,Porkhov,Russia,Nat Persent,765
081537,Dietrich Hospital,Pärnu-Jaagupi,Estonia,Pet Virr,511
317756,Heathcote Hospital,Dhromolaxia,Cyprus,Humberto Pragnell,627
900759,Heathcote Hospital,Redondos,Portugal,Beverley Fearey,207
527510,Bartoletti Hospital,Knurów,Poland,Consuelo Frosch,922
618659,Jones Hospital,Namur,Belgium,Zuzana Grouen,268
727680,Fadel Hospital,Nizhnyaya Tura,Russia,Dougy Gonzalez,485
762250,Ledner Hospital,Strašice,Czech Republic,Trude Pryer,483
200024,Hartmann Hospital,Korczew,Poland,Audrie Gleader,516
048564,Swaniawski Hospital,Clisson,France,Shane McMaster,96
126148,Stamm Hospital,Valtimo,Finland,Debor Boerder,96
243947,Predovic Hospital,Nakło nad Notecią,Poland,Baldwin MacTerlagh,829
937263,Kassulke Hospital,Pesochnoye,Russia,Ravi Brahms,408
268501,Moen Hospital,Pervoavgustovskiy,Russia,Camellia Addeycott,374
040516,Thiel Hospital,Zelenokumsk,Russia,Fiorenze Huthart,926
189618,Sanford Hospital,Blagoevgrad,Bulgaria,Bertie Bony,989
709412,Boehm Hospital,Koceljeva,Serbia,Hyacinthia Cowthart,677
383561,Hane Hospital,Peterhof,Russia,Sander Vsanelli,83
284529,Wiza Hospital,Vyshneye Dolgoye,Russia,Heinrick Neagle,410
491060,Runolfsson Hospital,Santiago do Cacém,Portugal,Tedman Housin,742
938447,Grant Hospital,Sabugal,Portugal,Jaquenetta Jacquot,469
479907,Ruecker Hospital,Silute,Lithuania,Corliss Farbrother,942
565174,Fisher Hospital,Bordeaux,France,Claybourne Gamon,423
148772,Lebsack Hospital,Trawniki,Poland,Blakeley Jzak,475
991792,Herman Hospital,Vrakháti,Greece,Deana Bartholin,242
176133,Ebert Hospital,Vršac,Serbia,Lurline Pennacci,712
257946,Thompson Hospital,Zhukovskiy,Russia,Jacquie Chalfont,296
783284,Roob Hospital,Butel,Macedonia,Adora Guillon,926
548979,Graham Hospital,Novokuz’minki,Russia,Maynord Berry,352
440095,Kub Hospital,Boronów,Poland,Carlin Bogey,294
492259,Cummerata Hospital,Verkhnyaya Belka,Ukraine,Krishna Blincow,75
546714,Donnelly Hospital,Sollefteå,Sweden,Daniele Cathcart,526
377249,Considine Hospital,Kopychyntsi,Ukraine,Lissi Rollason,521
441485,Harber Hospital,Ordzhonikidzevskaya,Russia,Muffin Relfe,887
686202,Johns Hospital,Magadan,Russia,Shoshana Brignell,380
674103,Stanton Hospital,Kamyanyets,Belarus,Akim Makepeace,203
780034,Gleichner Hospital,Volkhov,Russia,Sibilla Brockway,89
555952,Marks Hospital,Kunów,Poland,Luce Mosdill,421
533517,Hickle Hospital,Maştağa,Azerbaijan,Jeri Rusling,509
544355,Fritsch Hospital,Solnice,Czech Republic,Nanon Tetla,202
752237,Dach Hospital,Pedreira,Portugal,Rey Verdie,905
192004,Klein Hospital,Haradzyeya,Belarus,Lindie Farny,514
042418,McCullough Hospital,Skaryszew,Poland,Ursola Ableson,942
226380,Gottlieb Hospital,Lyskovo,Russia,Lyssa Bottom,422
935915,Dooley Hospital,Bondy,France,Prentiss Leyman,73
010533,Fahey Hospital,Obrenovac,Serbia,Ogdan Frid,278
766525,Satterfield Hospital,Horki,Belarus,Noland Barck,932
683279,Ondricka Hospital,Évry,France,Berry Boobier,453
557716,Lakin Hospital,Dykan’ka,Ukraine,Jodi Hymer,722
993980,Gleichner Hospital,Arklow,Ireland,Diego Moncey,333
847781,Legros Hospital,Montfort-sur-Meu,France,Demetrius Blabber,319
256345,Zulauf Hospital,Ust’-Kalmanka,Russia,Salaidh Cammocke,616
805165,Bernier Hospital,Mnich,Poland,Ellissa Gilleon,601
426822,Ratke Hospital,Lipka,Poland,Sharona Boxhall,375
616025,Rodriguez Hospital,Antimácheia,Greece,Goddart Yearsley,665
475262,Fay Hospital,Uyskoye,Russia,Catina Lumbers,770
938683,Cremin Hospital,Messina,Italy,Matty Gillice,80
898730,Stanton Hospital,Norakert,Armenia,Jodie Laverty,164
611260,Mraz Hospital,Beijós,Portugal,Romy Vasilmanov,521
236903,Kshlerin Hospital,Vlycháda,Greece,Sargent Jaffa,642
147205,McLaughlin Hospital,Mingelchaur,Azerbaijan,Westbrooke Madders,245
611750,Kilback Hospital,Napoli,Italy,Jarret Dawkes,53
538383,Dietrich Hospital,Gijon,Spain,Raffarty Bolletti,146
749297,Bashirian Hospital,Vol’no-Nadezhdinskoye,Russia,Hallsy Carbry,547
720326,Cronin Hospital,Dobra,Poland,Tildi Bellon,621
879821,Bayer Hospital,Omiš,Croatia,Alexandros Lopez,857
259747,Steuber Hospital,Velyka Pysarivka,Ukraine,Clem Stanbro,167
225218,Wilkinson Hospital,Shchëkino,Russia,Odessa Penning,811
576531,Bogan Hospital,Alvega,Portugal,Lewes McQuilty,155
140074,Tillman Hospital,Fréjus,France,Dixie Kernan,199
652274,Bode Hospital,Berģi,Latvia,Barr Lacheze,844
772247,Gusikowski Hospital,Apeldoorn,Netherlands,Martica Hanvey,259
725645,Tillman Hospital,Angoulême,France,Donia Waters,40
364668,Klein Hospital,Alcains,Portugal,Merrel Moncarr,845
873909,Wisozk Hospital,Saltsjöbaden,Sweden,Flemming Buscombe,494
642111,Hagenes Hospital,Mina de São Domingos,Portugal,Roselle Geerdts,125
722361,Brakus Hospital,Lidzbark,Poland,Chadwick Guilbert,138
548828,Effertz Hospital,Wojnicz,Poland,Alis Lamswood,765
678036,Durgan Hospital,Pomiechówek,Poland,Alikee Jolin,702
207079,Hyatt Hospital,Manevychi,Ukraine,Margarette Caudell,543
336645,Kunde Hospital,Castelo,Portugal,Armand Tuffell,124
737184,Waelchi Hospital,Inya,Russia,Ginni Toxell,854
540786,Orn Hospital,Älvängen,Sweden,Farra Filewood,654
748630,Ruecker Hospital,Kasimov,Russia,Fulvia Fouracres,490
720801,Stoltenberg Hospital,Yasinya,Ukraine,Myrtle Jossum,517
045018,Ebert Hospital,Khiv,Russia,Tine Wyre,300
014465,Satterfield Hospital,Peraía,Greece,Maurizio Swiffan,657
253771,Bayer Hospital,Njurunda,Sweden,Bradley Lafflina,397
183085,Swaniawski Hospital,'s-Hertogenbosch,Netherlands,Dougy Musgrove,645
906421,Simonis Hospital,Guimarães,Portugal,Garrik Bromige,757
937929,Corkery Hospital,Birr,Ireland,Benjie Brandes,299
629969,Feeney Hospital,Oslo,Norway,Aaron Baudinelli,800
854727,Buckridge Hospital,Corga,Portugal,Sheila Ashby,596
459860,Lesch Hospital,Paris 11,France,Sapphire Grishankov,931
255763,Bradtke Hospital,Lille,France,Terrance Kenan,509
251428,Crooks Hospital,Paris 16,France,Sayres Wardingly,790
100118,Stamm Hospital,Sannikovo,Russia,Paton Allgood,223
018647,Hahn Hospital,Besançon,France,Tanhya Ciabatteri,999
059099,Sanford Hospital,Bilozerka,Ukraine,Tan Camidge,87
580021,Harris Hospital,Psáry,Czech Republic,Mavra Epinoy,400
231579,Legros Hospital,Gœsdorf,Luxembourg,Kris Spohr,678
313627,Kirlin Hospital,Kerċem,Malta,Karoline Milson,497
950346,Hilpert Hospital,Birr,Ireland,Bonny Poulsen,257
297297,Prohaska Hospital,Starobachaty,Russia,Adler Mapson,588
449818,Rodriguez Hospital,Kamennogorsk,Russia,Leland Raven,96
491093,Gaylord Hospital,Rychvald,Czech Republic,Juliet Kinsley,370
016389,Abernathy Hospital,Peterhof,Russia,Gene Merkle,202
698293,Graham Hospital,Dąbrowa,Poland,Renata Baford,784
948540,Nicolas Hospital,Klina,Kosovo,Farand Olivier,336
654665,Weimann Hospital,Quimper,France,Kerry Chue,564
923905,Lueilwitz Hospital,Dobrošte,Macedonia,Marybelle Janko,736
